Industry	Act	Sub-Act	Sub-Sub-Act	Prompt
AI and Data Science	Data Analysis	Exploratory Data Analysis (EDA)	Data Visualization	I want you to act as a data analyst. I will provide you with a dataset, and you should generate data visualizations as part of an exploratory data analysis (EDA) report. Format your response as a comprehensive EDA report with descriptive statistics, data visualizations, and key findings. Dataset: Attached as a CSV file.
AI and Data Science	Data Analysis	Exploratory Data Analysis (EDA)	Statistical Analysis	I want you to act as a data analyst. I will provide you with a dataset, and you should perform statistical analysis as part of an exploratory data analysis (EDA) report. Format your response as a comprehensive EDA report with descriptive statistics, data visualizations, and key findings. Dataset: Attached as a CSV file.
AI and Data Science	Data Analysis	Data Cleaning	Data Imputation	I want you to act as a data cleaner. I will provide you with a dataset, and you should perform data imputation to fill in missing values as part of the data cleaning process. Format your response as a cleaned dataset in CSV format with removed duplicates, missing values imputed, and data errors corrected. Dataset: Attached as a CSV file.
AI and Data Science	Data Analysis	Data Cleaning	Data Validation	I want you to act as a data cleaner. I will provide you with a dataset, and you should perform data validation to identify and correct data errors as part of the data cleaning process. Format your response as a cleaned dataset in CSV format with removed duplicates, missing values imputed, and data errors corrected. Dataset: Attached as a CSV file.
AI and Data Science	Machine Learning	Model Training	Hyperparameter Tuning	I want you to act as a machine learning engineer. I will provide you with a labeled dataset, and you should perform hyperparameter tuning to optimize the model's performance as part of the model training process. Format your response as a trained machine learning model with optimized hyperparameters, model architecture, and evaluation metrics. Labeled dataset: Attached as a CSV file.
AI and Data Science	Machine Learning	Model Training	Model Evaluation	I want you to act as a machine learning engineer. I will provide you with a trained machine learning model, and you should evaluate its performance using appropriate metrics as part of the model training process. Format your response as a model evaluation report with evaluation metrics, confusion matrix, and recommendations for further improvement. Trained machine learning model: Attached as a model file.
App Development	Front-end Development	UI Design	Wireframe Design	I want you to act as a UI designer. I will provide you with a wireframe, and you should generate a high-fidelity user interface (UI) design based on the wireframe. Format your response as a high-fidelity UI design with visual elements, color schemes, and interactive features. Wireframe: Attached as an image file.
App Development	Front-end Development	UI Design	Prototype Development	I want you to act as a UI designer. I will provide you with a high-fidelity UI design, and you should develop a clickable prototype to showcase the user flow and interactions. Format your response as a clickable prototype with interactive screens, transitions, and user interactions. High-fidelity UI design: Attached as an image file.
App Development	Back-end Development	API Integration	API Documentation Review	I want you to act as a back-end developer. I will provide you with API documentation, and you should review it for accuracy, completeness, and adherence to industry standards. Format your response as a detailed review report with identified issues, recommendations, and suggested improvements. API Documentation: Attached as a PDF file.
App Development	Back-end Development	Database Design	Entity-Relationship Diagram (ERD)	I want you to act as a database designer. I will provide you with the application requirements, and you should design an entity-relationship diagram (ERD) to model the database structure. Format your response as an ERD diagram with entities, relationships, attributes, and cardinalities. Application Requirements: Attached as a document file.
App Development	Back-end Development	Database Design	Database Schema Design	I want you to act as a database designer. I will provide you with the application requirements and the entity-relationship diagram (ERD), and you should design a database schema based on the ERD. Format your response as a database schema with tables, columns, primary and foreign keys, and data types. Application Requirements: Attached as a document file. ERD: Attached as an image file.
App Development	Testing	Unit Testing	Test Plan	I want you to act as a tester. I will provide you with the application code, and you should create a test plan to outline the testing approach, test cases, and expected results for unit testing. Format your response as a comprehensive test plan document with test objectives, test scope, test environment, and test deliverables. Application Code: Attached as a document file.
App Development	Testing	Unit Testing	Test Cases Development	I want you to act as a tester. I will provide you with the application code and the test plan, and you should develop test cases to validate the functionality of the code based on the test plan. Format your response as a set of test cases with input data, expected output, and test results. Application Code: Attached as a document file. Test Plan: Attached as a document file.
App Development	Testing	Integration Testing	Test Data Preparation	I want you to act as a tester. I will provide you with the application modules, and you should prepare test data for integration testing based on the test scenarios and test cases. Format your response as a set of test data with input values, expected output, and test results. Application Modules: Attached as a document file. Test Scenarios and Test Cases: Attached as a document file.
App Development	Deployment	Server Configuration	Firewall Setup	I want you to act as a system administrator. I will provide you with the server details, and you should configure the firewall to ensure secure access and communication. Format your response as a firewall configuration report with firewall rules, policies, and security settings. Server Details: Attached as a document file.
App Development	Deployment	Continuous Integration/Continuous Deployment (CI/CD)	Pipeline Setup	I want you to act as a DevOps engineer. I will provide you with the application code repository, and you should set up a CI/CD pipeline to automate the build, test, and deployment processes. Format your response as a CI/CD pipeline configuration with build triggers, testing stages, and deployment targets. Code Repository: Attached as a document file.
App Development	Maintenance	Bug Fixing	Root Cause Analysis	I want you to act as a software engineer. You have identified a bug in the application and need to perform root cause analysis to determine the underlying cause of the issue. Format your response as a root cause analysis report with the detailed investigation process, findings, and recommendations for resolution. Bug Report: Attached as a document file.
App Development	Maintenance	Bug Fixing	Fix Implementation	I want you to act as a software engineer. Based on the root cause analysis report, you need to implement the necessary fixes to resolve the identified bug in the application. Format your response as a patch or code changes with comments explaining the modifications made. Root Cause Analysis Report: Attached as a document file.
App Development	Maintenance	Performance Optimization	Performance Testing	I want you to act as a performance engineer. You need to perform performance testing on the application to identify and resolve any performance bottlenecks, such as slow response times or high resource utilization. Format your response as a performance testing report with test scenarios, test results, and optimization recommendations. Application: Attached as a document file.
App Development	Maintenance	Performance Optimization	Code Refactoring	I want you to act as a software engineer. Based on the performance testing report, you need to refactor the code to optimize performance and improve efficiency. Format your response as refactored code with comments explaining the changes made and their impact on performance. Performance Testing Report: Attached as a document file.
App Development	Documentation	User Manual	User Guide	I want you to act as a technical writer. You need to create a comprehensive user guide for the application, covering all the features, functionalities, and usage instructions for end-users. Format your response as a user manual in a document format, including screenshots, step-by-step instructions, and troubleshooting tips. Application: Attached as a document file.
App Development	Documentation	API Documentation	API Reference	I want you to act as a technical writer. You need to create detailed documentation for the application's APIs, including API reference documentation with usage instructions, parameters, request and response formats, and error handling. Format your response as an API documentation in a document format, following industry standards and conventions. Application: Attached as a document file.
AI and ML	Data Collection	Data Gathering	Data Scraping	I want you to act as a data scientist. You need to collect data from various online sources using web scraping techniques. Format your response as a list of URLs, data sources, and the extracted data in a tabular format, including relevant attributes. Data Sources: Attached as a document file.
AI and ML	Data Collection	Data Acquisition	Data Purchase	I want you to act as a data scientist. You need to acquire data from external vendors or third-party sources for your machine learning project. Format your response as a data acquisition report with details on the data source, procurement process, cost, and data quality assessment. Data Vendor: Attached as a document file.
AI and ML	Data Preparation	Data Cleaning	Missing Values	I want you to act as a data scientist. You need to clean the data by handling missing values in the dataset. Format your response as a data cleaning report with the missing value imputation technique used, rationale, and the cleaned dataset in a tabular format. Dataset: Attached as a document file.
AI and ML	Data Preparation	Data Transformation	Feature Scaling	I want you to act as a data scientist. You need to perform feature scaling on the dataset to normalize the feature values. Format your response as a data transformation report with details on the scaling technique used, rationale, and the transformed dataset in a tabular format. Dataset: Attached as a document file.
AI and ML	Model Development	Model Training	Hyperparameter Tuning	I want you to act as a machine learning engineer. You need to perform hyperparameter tuning on the selected model to optimize its performance. Format your response as a hyperparameter tuning report with the hyperparameters tuned, their values, and the resulting model performance metrics. Model: Attached as a document file.
AI and ML	Model Development	Model Evaluation	Model Performance Metrics	I want you to act as a machine learning engineer. You need to evaluate the performance of the trained model using appropriate performance metrics, such as accuracy, precision, recall, F1-score, etc. Format your response as a model evaluation report with the performance metrics calculated, interpretation of the results, and recommendations for model improvement. Model: Attached as a document file.
AI and ML	Model Deployment	Model Integration	API Deployment	I want you to act as a machine learning engineer. You need to deploy the trained model as an API for real-time predictions. Format your response as an API deployment report with details on the API endpoints, input and output formats, and instructions for API usage. Model: Attached as a document file.
AI and ML	Model Deployment	Model Deployment	Cloud Deployment	I want you to act as a machine learning engineer. You need to deploy the trained model on a cloud-based platform for scalable and reliable predictions. Format your response as a cloud deployment report with details on the cloud platform used, deployment process, and access instructions. Model: Attached as a document file.
AI and ML	Model Monitoring	Model Monitoring	Performance Monitoring	I want you to act as a machine learning engineer. You need to monitor the performance of the deployed model in production to ensure its accuracy and reliability. Format your response as a performance monitoring report with details on the monitoring techniques used, monitoring results, and recommendations for model optimization. Model: Attached as a document file.
AI and ML	Model Monitoring	Model Monitoring	Data Drift Detection	I want you to act as a machine learning engineer. You need to detect data drift in the input data used for model predictions. Format your response as a data drift detection report with details on the drift detection technique used, drift metrics, and recommendations for model retraining or recalibration. Model: Attached as a document file.
AI and ML	Model Monitoring	Model Monitoring	Model Performance Analysis	I want you to act as a machine learning engineer. You need to analyze the performance of the deployed model in production. Format your response as a model performance analysis report with details on the performance metrics calculated, comparison with the benchmark, and recommendations for model improvement. Model: Attached as a document file.
AI and ML	Model Monitoring	Model Monitoring	Error Analysis	I want you to act as a machine learning engineer. You need to perform error analysis on the model predictions to identify and address the errors or misclassifications. Format your response as an error analysis report with details on the error types, frequency, and possible causes, along with recommendations for model refinement. Model: Attached as a document file.
AI and ML	Model Governance	Model Documentation	Model Documentation	I want you to act as a machine learning engineer. You need to document the details of the deployed model, including its architecture, algorithms, hyperparameters, and input/output formats. Format your response as a model documentation report with the documented information and a sample documentation template. Model: Attached as a document file.
AI and ML	Model Governance	Model Versioning	Model Versioning	I want you to act as a machine learning engineer. You need to maintain version control for the deployed model to track changes and updates. Format your response as a model versioning report with details on the versioning process, version history, and versioning best practices. Model: Attached as a document file.
AI and ML	Model Governance	Model Retraining	Model Retraining	I want you to act as a machine learning engineer. You need to retrain the deployed model periodically to keep it up-to-date with the latest data and improve its performance. Format your response as a model retraining report with details on the retraining process, data used, retrained model performance, and recommendations for model update frequency. Model: Attached as a document file.
AI and ML	Model Governance	Model Auditing	Model Auditing	I want you to act as a machine learning engineer. You need to perform model auditing to ensure compliance with data privacy, security, and ethical standards. Format your response as a model auditing report with details on the audit process, audit findings, and recommendations for addressing the identified issues. Model: Attached as a document file.
AI and ML	Model Governance	Model Explainability	Model Explainability	I want you to act as a machine learning engineer. You need to explain the predictions of the deployed model to improve transparency and trustworthiness. Format your response as a model explainability report with details on the explainability techniques used, interpretation of the model predictions, and recommendations for model interpretability improvement. Model: Attached as a document file.
AI and ML	Model Monitoring	Data Drift Detection		I want you to act as a machine learning engineer. You need to detect data drift in the input data used for model predictions. Format your response as a data drift detection report with details on the drift detection technique
Full Stack Development	Front-end Development	User Interface Design		I want you to act as a front-end developer. You need to design the user interface for a web application or website. Include details on the design tools used, wireframes, mockups, and any relevant design principles or guidelines followed.
Full Stack Development	Front-end Development	Responsive Web Design		I want you to act as a front-end developer. You need to implement responsive web design for a web application or website, ensuring it displays well on different devices and screen sizes. Document the responsive design techniques used, media queries, and any relevant CSS frameworks or libraries utilized.
Full Stack Development	Front-end Development	Performance Optimization		I want you to act as a front-end developer. You need to optimize the performance of a web application or website for faster loading times, improved rendering, and better user experience. Document the optimization techniques used, performance testing results, and any relevant tools or best practices followed.
Full Stack Development	Front-end Development	Accessibility Implementation		I want you to act as a front-end developer. You need to implement accessibility features in a web application or website to ensure it is usable by people with disabilities. Include details on the accessibility guidelines followed, tools used for testing, and any relevant coding practices or techniques utilized.
Full Stack Development	Front-end Development	Front-end Frameworks		I want you to act as a front-end developer. You need to develop a web application or website using a front-end framework of your choice, such as Angular, React, or Vue. Document the framework used, components developed, and any relevant configuration or customization done.
Full Stack Development	Back-end Development	Server-side Programming		I want you to act as a back-end developer. You need to develop the server-side logic and functionality for a web application or website. Include details on the programming language used, libraries or frameworks utilized, and any relevant design patterns or best practices followed.
